index,Abbreviation,Formula,Misbalance
159,1.1.1.117-RXN,D-arabinofuranose_c + NAD-P-OR-NOP_c --> CPD-356_c + NADH-P-OR-NOP_c + h_c,{'H': -1.0}
160,RXN-12088,Alpha-D-Galactosides_c + h2o_c --> ALPHA-D-GALACTOSE_c + Non-Galactosylated-Galactose-Acceptors_c,"{'H': 10.0, 'O': 5.0, 'C': 6.0}"
161,1.11.1.12-RXN,A-LIPID-HYDROPEROXIDE_c + 2.0 GLUTATHIONE_c + h_c --> gthox_c + 2.0 h2o_c + hexdp_c,"{'charge': -4.0, 'C': 30.0, 'H': 50.0, 'O': 9.0, 'P': 2.0}"
162,RXN-11375,Ceramides_c + h2o_c --> Fatty-Acids_c + Sphingoids_c,"{'H': -2.0, 'O': -1.0}"
163,CERAMIDASE-RXN,N-Acylsphingosine_c + h2o_c --> Fatty-Acids_c + sphings_c,"{'H': 36.0, 'O': 1.0, 'C': 18.0, 'N': 1.0}"
164,3.1.1.69-RXN,CPD-452_c + h2o_c <=> ac_c + gpail_hs_c,"{'H': 1.0, 'O': 1.0, 'C': 2.0}"
165,3.1.1.47-RXN,Alkyl-acetyl-glycero-ehosphocholines_c + h2o_c --> 1-Alkyl-sn-glycero-3-ehosphocholines_c + ac_c + h_c,"{'H': 2.0, 'O': 1.0, 'C': 2.0}"
166,FKYNH,Lfmkynr_c + h2o_c --> Lkynr_c + for_c + 3.0 h_c,{'charge': 2.0}
167,ENOYL-ACP-REDUCT-NADPH-RXN,Saturated-Fatty-Acyl-ACPs_c + nadp_c <=> TRANS-D2-ENOYL-ACP_c + h_c + nadph_c,{'H': 2.0}
168,RXN-13008,3-HYDROXY-DOCOSAPENTAENOYL-ACP_c + nadp_c <=> 3-OXO-EICOSAPENTAENOYL-ACP_c + h_c + nadph_c,{'H': 2.0}
169,RXN0-5468,Alkyl-Hydro-Peroxides_c + trdrd_c <=> Alcohols_c + h2o_c + trdox_c,{'O': 1.0}
170,RXN66-474,R2OH-Straight-Chain-234-Sat-FA_c + atp_c + coa_c --> R2-2OH-Straight-Chain-234-Sat-FA-CoA_c + amp_c + ppi_c,"{'C': -21.0, 'H': -31.0, 'N': -7.0, 'O': -15.0, 'P': -3.0, 'S': -1.0}"
171,GLUTRS_Gln,atp_c + glu__L_c + h_c + trnagln_c --> amp_c + glutrna_gln_c + ppi_c,"{'charge': -1.0, 'C': -5.0, 'H': -8.0, 'N': -1.0, 'O': -3.0, 'R': -1.0}"
172,1.17.4.2-RXN,Deoxy-Ribonucleoside-Triphosphates_c + h2o_c + trdox_c <=> Ribonucleoside-Triphosphates_c + trdrd_c,{'O': -1.0}
173,RXN-9918,acoa_m + crn_m <=> O-Acyl-L-Carnitines_m + coa_m,"{'C': 14.0, 'H': 17.0, 'N': 6.0, 'O': 13.0, 'P': 3.0, 'S': 1.0}"
175,RIBONUCLEOSIDE-DIP-REDUCTI-RXN,Deoxy-Ribonucleoside-Diphosphates_c + h2o_c + trdox_c <=> Ribonucleoside-Diphosphates_c + trdrd_c,{'O': -1.0}
177,RXN0-1134,Pyruvate-dehydrogenase-lipoate_c + h_c + pyr_c --> Pyruvate-dehydrogenase-acetylDHlipoyl_c + co2_c,"{'H': -4.0, 'C': -2.0, 'O': -1.0}"
178,RXN3DJ-11100,CPD3DJ-82_c + NADH-P-OR-NOP_c + h_c + o2_c --> N-Acylsphingosine_c + NAD-P-OR-NOP_c + 2.0 h2o_c,{'H': 3.0}
179,RXN3DJ-118,acoa_c + sphgn_c --> CPD3DJ-82_c + coa_c + h_c,"{'C': 3.0, 'H': -7.0, 'N': 6.0, 'O': 14.0, 'P': 3.0, 'S': 1.0}"
183,SERTRS,atp_c + h_c + ser__L_c + trnaser_c --> amp_c + ppi_c + sertrna_c,"{'charge': -2.0, 'H': -1.0}"
185,ASPTRSm,asp__L_c + atp_c + h_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,"{'charge': -2.0, 'H': -1.0}"
191,GLURS-RXN,atp_c + glu__L_c + h_c + trnaglu_c --> Charged-GLT-tRNAs_c + amp_c + ppi_c,"{'charge': -1.0, 'C': -5.0, 'H': -8.0, 'N': -1.0, 'O': -3.0, 'R': -1.0}"
193,3.2.1.21-RXN,Beta-D-glucosides_c + h2o_c --> Non-Glucosylated-Glucose-Acceptors_c + glc__D_c,"{'H': 10.0, 'O': 5.0, 'C': 6.0}"
194,RXN-5061,2.0 fdxrd_c + 2.0 h_c + mlthf_c --> 5mthf_c + 2.0 fdxox_c,"{'charge': -2.0, 'H': -4.0}"
195,RXN-15211,N-Acylsphingosine_c + pc160_c --> 12dgr160_c + N-acyl-sphingosylphosphorylcholine_c,"{'C': -5.0, 'H': -12.0, 'N': -1.0, 'O': -3.0, 'P': -1.0}"
196,RXN-12339,N-acyl-sphingosylphosphorylcholine_c + h2o_c --> CPD-481_c + Fatty-Acids_c,"{'H': 48.0, 'O': 4.0, 'C': 23.0, 'N': 2.0, 'P': 1.0}"
197,RXN1A0-6303,Actinorhodin-Intermediate-1_c + nadph_c <=> Actinorhodin-Intermediate-2_c + nadp_c,"{'charge': 1.0, 'H': -1.0}"
198,PYRUFLAVREDUCT-RXN,coa_c + 2.0 fdxox_c + pyr_c --> accoa_c + co2_c + 2.0 fdxrd_c + h_c,"{'charge': 2.0, 'H': 4.0}"
199,2.8.1.6-RXN,Sulfurated-Sulfur-Acceptors_c + 2.0 amet_c + dtbt_c --> Unsulfurated-Sulfur-Acceptors_c + btn_c + 2.0 dad_5_c + h_c + 2.0 met__L_c,"{'charge': -1.0, 'H': 1.0, 'S': 1.0}"
200,1.18.1.2-RXN,2.0 fdxrd_c + h_c + nadp_c --> 2.0 fdxox_c + nadph_c,"{'charge': -2.0, 'H': -4.0}"
201,GLUTARYL-COA-DEHYDROG-RXN,fadh2_c + glutcoa_c + h_c <=> GLUTACONYL-COA_c + fad_c,"{'charge': -2.0, 'H': -6.0}"
202,RXN-14906,Proteins-L-Threonines_c + atp_c --> Protein-Phosphothreonines_c + adp_c + h_c,"{'H': 1.0, 'O': -3.0, 'P': -1.0}"
203,RXN-7605,Demethylated-methyl-acceptors_c + amet_c --> Methylated-methyl-acceptors_c + ahcys_c,"{'charge': -1.0, 'C': -1.0, 'H': -3.0}"
204,RXN-11754,2-Methoxy-6-Polyprenyl-14-Benzoquinols_c + amet_c + h_c <=> 6Methoxy5Methyl2Polyprenyl14Benzoquinol_c + ahcys_c,"{'charge': -2.0, 'C': -1.0, 'H': -4.0}"
206,RXN0-949,Octanoylated-domains_c + 2.0 Sulfurated-Sulfur-Acceptors_c + 2.0 amet_c <=> Lipoyl-Protein-N6-lipoyllysine_c + 2.0 Unsulfurated-Sulfur-Acceptors_c + 2.0 dad_5_c + 2.0 h_c + 2.0 met__L_c,{'H': 4.0}
207,PHOSPHATIDYLCHOLINE-DESATURASE-RXN,1-ACYL-2-OLEOYL-SN-GLYCERO-3-PHOSPHOCHOL_c + nad_c <=> 1-ACYL-2-LINOLEOYL-SN-GLYCERO-3-PHOSPHOC_c + h_c + nadh_c,{'H': 2.0}
208,2.7.8.19-RXN,b-D-mannosyl-R_c + udpg_c <=> CPD-8559_c + h_c + ump_c,"{'C': -6.0, 'H': -10.0, 'O': -8.0, 'P': -1.0}"
209,RXN-1602,1-2-Diglycerides_c + h2o_c --> CPD-409_c + Fatty-Acids_c + h_c,"{'H': -1.0, 'O': -1.0}"
210,3.1.1.23-RXN,CPD-504_c + h2o_c --> Fatty-Acids_c + glyc_c + h_c,"{'H': 7.0, 'O': 2.0, 'C': 3.0}"
211,RXN-8353,CPD-4141_c + 2.0 h_c --> CPD-8134_c,{'charge': -2.0}
212,HISTONE-LYSINE-N-METHYLTRANSFERASE-RXN,Histone-L-lysine_c + amet_c <=> CPD-8579_c + ahcys_c + h_c,"{'C': -1.0, 'H': -2.0}"
213,2.1.1.126-RXN,Myelin-L-arginines_c + amet_c <=> Myelin-N-o-methyl-arginines_c + ahcys_c + h_c,"{'C': -1.0, 'H': -2.0}"
214,FERREDOXIN--NITRITE-REDUCTASE-RXN,6.0 fdxrd_c + 8.0 h_c + no2_c --> 6.0 fdxox_c + 2.0 h2o_c + nh4_c,"{'charge': -6.0, 'H': -12.0}"
215,RXN-14959,2.0 Sulfurated-Sulfur-Acceptors_c + a-2-oxoglutarate-dehydrogenase-E2-erotei_c + 2.0 amet_c <=> Oxo-glutarate-dehydrogenase-lipoyl_c + 2.0 Unsulfurated-Sulfur-Acceptors_c + 2.0 dad_5_c + 2.0 h_c + 2.0 met__L_c,{'H': 4.0}
216,KETOACYLCOATHIOL-RXN-PALMITYL-COA/ACETYL-COA//POLYMER-INST-3-KETOACYL-COA-C14-H28/CO-A.66.,POLYMER-INST-3-KETOACYL-COA-C14-H28_c + coa_c --> accoa_c + pmtcoa_c,{'charge': -4.0}
217,R265-RXN,CPD-533_c + fadh2_c + h_c <=> ch15deccoa_c + fad_c,"{'charge': -2.0, 'H': -6.0}"
218,R282-RXN,CPD-577_c + fadh2_c + h_c <=> CPD-533_c + fad_c,"{'charge': -2.0, 'H': -6.0}"
219,3.2.1.25-RXN,Beta-D-Mannosides_c + h2o_c --> CPD-12601_c + Non-Glycosylated-sugar-Acceptors_c,"{'H': 10.0, 'O': 5.0, 'C': 6.0}"
220,GLNTRS,atp_c + gln__L_c + h_c + trnagln_c --> amp_c + glntrna_c + ppi_c,"{'charge': -1.0, 'H': -1.0}"
222,STS1r,dheas_c + h2o_c --> dhea_c + 3.0 h_c + so4_c,{'charge': 2.0}
223,ARYLSULFAT-RXN,Aryl-Sulfate_c + h2o_c --> Aryl-Alcohol_c + h_c + so4_c,"{'H': -1.0, 'O': 3.0, 'S': 1.0}"
224,PRODISULFREDUCT-A-RXN,2.0 GLUTATHIONE_c + Ox-Glutaredoxins_c --> grxrd_c + gthox_c,{'X': 1.0}
225,Hexaprenyl-Diphosphate-Biosynthesis-RXN,frdp_c + ipdp_c --> hexdp_c + 3.0 ppi_c,"{'charge': -6.0, 'C': 10.0, 'H': 18.0, 'O': 14.0, 'P': 4.0}"
226,Oxidization_FADH2,fadh2_m + q6_m --> fad_m + q6h2_m,"{'charge': -1.0, 'H': -1.0}"
227,Putative_Trans_Aconitate_Decarboxylase,acon_T_c --> co2_c + itacon_c,"{'charge': 1.0, 'H': 1.0}"
229,NGAM,atp_c + h2o_c --> adp_c + pi_c,"{'charge': -1.0, 'H': -1.0}"
230,BTNtex,btn_e <=> btn_c,{'charge': -1.0}
231,THMtex,thm_e <=> thm_c,{'charge': 1.0}
232,PNTO_Rtex,pnto_R_e <=> pnto_R_c,"{'C': -9.0, 'H': -16.0, 'N': -1.0, 'O': -5.0}"
